"Scenario","Year","age","modelYear","vehSize","LIB"
"Ambitious-Long",2022,0,2022,"Car",26.2754915635828
"Ambitious-Long",2022,0,2022,"Light Truck",38.7245084364172
"Ambitious-Long",2022,1,2021,"Car",18.1200398650171
"Ambitious-Long",2022,1,2021,"Light Truck",26.8799601349829
"Ambitious-Long",2022,2,2020,"Car",15.27014918209
"Ambitious-Long",2022,2,2020,"Light Truck",22.72985081791
"Ambitious-Long",2022,3,2019,"Car",21.8737087813174
"Ambitious-Long",2022,3,2019,"Light Truck",32.1262912186826
"Ambitious-Long",2022,4,2018,"Car",32.1903680712735
"Ambitious-Long",2022,4,2018,"Light Truck",46.8096319287265
"Ambitious-Long",2022,5,2017,"Car",25.0575469707114
"Ambitious-Long",2022,5,2017,"Light Truck",35.9424530292886
"Ambitious-Long",2022,6,2016,"Car",114.922986375416
"Ambitious-Long",2022,6,2016,"Light Truck",162.077013624583
"Ambitious-Long",2023,0,2023,"Car",29.8218176692599
"Ambitious-Long",2023,0,2023,"Light Truck",44.1781823307401
"Ambitious-Long",2023,1,2022,"Car",41.6365481699851
"Ambitious-Long",2023,1,2022,"Light Truck",61.3634518300149
"Ambitious-Long",2023,2,2021,"Car",28.5893962314713
"Ambitious-Long",2023,2,2021,"Light Truck",42.4106037685286
"Ambitious-Long",2023,3,2020,"Car",24.1107618664578
"Ambitious-Long",2023,3,2020,"Light Truck",35.8892381335421
"Ambitious-Long",2023,4,2019,"Car",34.4308378965181
"Ambitious-Long",2023,4,2019,"Light Truck",50.5691621034819
"Ambitious-Long",2023,5,2018,"Car",50.5266536814925
"Ambitious-Long",2023,5,2018,"Light Truck",73.4733463185074
"Ambitious-Long",2023,6,2017,"Car",39.4348280194802
"Ambitious-Long",2023,6,2017,"Light Truck",56.5651719805198
"Ambitious-Long",2024,0,2024,"Car",53.8488994836312
"Ambitious-Long",2024,0,2024,"Light Truck",89.1511005163688
"Ambitious-Long",2024,1,2023,"Car",46.7477141842453
"Ambitious-Long",2024,1,2023,"Light Truck",69.2522858157547
"Ambitious-Long",2024,2,2022,"Car",65.0823714113359
"Ambitious-Long",2024,2,2022,"Light Truck",95.9176285886641
"Ambitious-Long",2024,3,2021,"Car",45.0987658862647
"Ambitious-Long",2024,3,2021,"Light Truck",66.9012341137353
"Ambitious-Long",2024,4,2020,"Car",38.1753729552249
"Ambitious-Long",2024,4,2020,"Light Truck",56.8246270447751
"Ambitious-Long",2024,5,2019,"Car",53.8741345910225
"Ambitious-Long",2024,5,2019,"Light Truck",79.1258654089776
"Ambitious-Long",2024,6,2018,"Car",78.6422916171618
"Ambitious-Long",2024,6,2018,"Light Truck",114.357708382838
"Ambitious-Long",2025,0,2025,"Car",95.7826666154592
"Ambitious-Long",2025,0,2025,"Light Truck",147.217333384541
